Hanzi,Pinyin,O'zbekcha
爱,ài,sevmoq; yoqtirmoq
八,bā,sakkiz
爸爸,bàba,ota; dada
杯子,bēizi,stakan; piyola
北京,Běijīng,Pekin
本,běn,kitoblar uchun hisob so'z; daftar
不客气,bú kèqi,marhamat
不,bù,yo'q (inkor so'zi)
菜,cài,sabzavot; taom
茶,chá,choy
吃,chī,ovqatlanmoq
出租车,chūzūchē,taksi
打电话,dǎ diànhuà,qo'ng'iroq qilmoq
大,dà,katta
的,de,-ning; diqqatni qaratadigan yuklama
点,diǎn,soat; buyurmoq; yoqmoq
电脑,diànnǎo,kompyuter
电视,diànshì,televizor
电影,diànyǐng,badiiy film
东西,dōngxi,narsa
都,dōu,hamma; allaqachon
读,dú,o'qimoq
对不起,duìbuqǐ,kechirasiz
多,duō,ko'p; necha; qanchalik
多少,duōshao,qancha; necha
儿子,érzi,o'g'il
二,èr,ikki
饭店,fàndiàn,restoran; mehmonxona
飞机,fēijī,samolyot
分钟,fēnzhōng,daqiqa
高兴,gāoxìng,xursand bo'lmoq
个,gè,donabay otlar uchun hisob so'z
工作,gōngzuò,ish; ishlamoq
汉语,Hànyǔ,xitoy tili
好,hǎo,yaxshi; bo'ladi; juda
号,hào,kun; raqam
喝,hē,ichmoq
和,hé,va; bilan
很,hěn,juda
后面,hòumiàn,orqa tomon; kechroq
回,huí,qaytmoq; marta
会,huì,-bilmoq; majlis
几,jǐ,qancha; bir necha
家,jiā,oila; uy
叫,jiào,atamoq
今天,jīntiān,bugun; hozir
九,jiǔ,to'qqiz
开,kāi,haydamoq; ochmoq; o'tkazmoq
看,kàn,qaramoq; o'qimoq
看见,kànjiàn,ko'rmoq
块,kuài,kuay (pul birligi); bo'lak; birga
来,lái,kelmoq; kerak
老师,lǎoshī,o'qituvchi
了,le,o'tgan zamonni bildiruvchi so'z
冷,lěng,sovuq
里,lǐ,-da
零,líng,nol
六,liù,olti
妈妈,māma,ona
吗,ma,so'roq gap tuzadi
买,mǎi,sotib olmoq
没关系,méi guānxi,hechqisi yo'q
没有,méiyǒu,yo'q; mavjud emas
米饭,mǐfàn,pishgan guruch
明天,míngtiān,ertaga
名字,míngzi,ism; nom
哪,nǎ,qaysi
哪儿,nǎr,qayer
那,nà,o'sha; u yerda
呢,ne,so'roq gaplar oxirida qo'llaniladi
能,néng,-olmoq
你,nǐ,sen
年,nián,yil
女儿,nǚ'ér,qiz (farzand)
朋友,péngyou,do'st
漂亮,piàoliang,chiroyli; ajoyib
苹果,píngguǒ,olma
七,qī,yetti
钱,qián,pul
前面,qiánmiàn,oldinda
请,qǐng,marhamat; iltimos qilmoq; taklif qilmoq
去,qù,bormoq; ketmoq
热,rè,issiq; isitmoq
人,rén,odam
认识,rènshi,tanishmoq
三,sān,uch
商店,shāngdiàn,do'kon
上,shàng,ustida; tepaga chiqmoq
上午,shàngwǔ,ertalab
少,shǎo,kam; yetmaslik
谁,shéi,kim
什么,shénme,nima
十,shí,o'n
时候,shíhou,payt; dam
是,shì,bo'lmoq; ha
书,shū,kitob
水,shuǐ,suv
水果,shuǐguǒ,meva
睡觉,shuìjiào,uxlamoq
说,shuō,gapirmoq; so'zlamoq
说话,shuōhuà,gaplashmoq
四,sì,to'rt
岁,suì,yosh
他,tā,u (erkak)
她,tā,u (ayol)
太,tài,juda
天气,tiānqì,ob-havo
听,tīng,eshitmoq; itoat qilmoq
同学,tóngxué,sinfdosh; kursdosh
喂,wèi,allo
我,wǒ,men
我们,wǒmen,biz; bizlar
五,wǔ,besh
喜欢,xǐhuan,yoqtirmoq; qiziqish
下,xià,tagida; tushmoq; keyingi
下午,xiàwǔ,peshin
下雨,xià yǔ,yomg'ir yog'moq
先生,xiānsheng,janob
现在,xiànzài,hozir; ayni payt
想,xiǎng,rejalashtirmoq; o'ylamoq; sog'inmoq
小,xiǎo,kichik
小姐,xiǎojiě,kichik xonim
些,xiē,bir necha; bir oz
写,xiě,yozmoq
谢谢,xièxie,rahmat
星期,xīngqī,hafta
学生,xuésheng,o'quvchi; talaba
学习,xuéxí,o'qimoq
学校,xuéxiào,maktab
一,yī,bir
一点儿,yìdiǎnr,bir oz
衣服,yīfu,kiyim-kechak
医生,yīshēng,shifokor
医院,yīyuàn,shifoxona
椅子,yǐzi,stul
有,yǒu,bor; mavjud bo'lmoq
月,yuè,oy
再见,zàijiàn,xayr
在,zài,-da; mavjud bo'lmoq
怎么,zěnme,qanday
怎么样,zěnmeyàng,qanday; qanday bo'lar ekan
这,zhè,bu; bu yerda
中国,Zhōngguó,Xitoy
中午,zhōngwǔ,tush payti
住,zhù,istiqomat qilmoq; yashamoq
桌子,zhuōzi,stol
字,zì,harf; so'z; iyeroglif
昨天,zuótiān,kecha
坐,zuò,o'tirmoq; transportda sayohat qilmoq
做,zuò,ishlab chiqarmoq; bo'lmoq; qilmoq
吧,ba,so'roq gaplarning oxirida qo'llaniladi
白,bái,oq
百,bǎi,yuz
帮助,bāngzhù,yordam bermoq
报纸,bàozhǐ,gazeta
比,bǐ,taqqoslashtirishni bildiruvchi so'z
别,bié,harakatni cheklovchi so'z
长,cháng,uzun
唱歌,chànggē,ashula aytmoq
出,chū,chiqmoq; yuzaga keltirmoq
穿,chuān,kiyinmoq
次,cì,marotaba
从,cóng,-dan
错,cuò,xato; noto'g'ri
打篮球,dǎ lánqiú,basketbol o'ynamoq
大家,dàjiā,hamma
到,dào,yetib bormoq
得,de,to'ldiruvchi komponenti
等,děng,kutmoq
弟弟,dìdi,uka
第一,dì-yī,birinchi
懂,dǒng,tushunmoq
对,duì,to'g'ri; -ga
房间,fángjiān,xona
非常,fēicháng,juda
服务员,fúwùyuán,ofitsiant
高,gāo,baland
告诉,gàosu,aytmoq
哥哥,gēge,aka
给,gěi,bermoq; uchun
公共汽车,gōnggòngqìchē,avtobus
公司,gōngsī,firma; korxona
狗,gǒu,it; kuchuk
贵,guì,qimmat
过,guo,o'tgan noma'lum zamonni bildiradi
还,hái,hali ham; yana
孩子,háizi,farzand; bola
好吃,hǎochī,mazali
黑,hēi,qora
红,hóng,qizil
欢迎,huānyíng,xush kelibsiz
回答,huídá,javob bermoq; javob
火车站,huǒchēzhàn,vokzal
机场,jīchǎng,aeroport
鸡蛋,jīdàn,tuxum
件,jiàn,kiyim-kechak uchun hisob so'z
教室,jiàoshì,o'quv xona
姐姐,jiějie,katta opa
介绍,jièshào,tanishtirmoq; tanishtiruv
进,jìn,kirmoq
近,jìn,yaqin
就,jiù,tasdiqni ifodalovchi so'z; darrov
觉得,juéde,o'ylamoq
咖啡,kāfēi,qahva
开始,kāishǐ,boshlamoq; boshlanish
考试,kǎoshì,imtihon; test
可能,kěnéng,balki; bo'lishi mumkin
可以,kěyǐ,mumkin; durust
课,kè,dars
快,kuài,tez; tez orada
快乐,kuàilè,quvnoq; saodat
累,lèi,charchamoq; toliqmoq
离,lí,-dan; -ga
两,liǎng,ikki
路,lù,yo'l; avtobus raqami
旅游,lǚyóu,sayohat qilmoq
卖,mài,sotmoq
慢,màn,sekin; asta
忙,máng,band
猫,māo,mushuk
每,měi,har
妹妹,mèimei,singil
门,mén,eshik; darslar uchun hisob so'z
男,nán,erkak
您,nín,siz
牛奶,niúnǎi,sut
女,nǚ,ayol
旁边,pángbiān,yonida; yaqin atrofida
跑步,pǎobù,yugurmoq
便宜,piányi,arzon
票,piào,chipta
妻子,qīzi,rafiqa
起床,qǐchuáng,o'rnidan turmoq
千,qiān,ming
铅笔,qiānbǐ,qalam
晴,qíng,oydin
去年,qùnián,o'tgan yil
让,ràng,ruxsat bermoq; topshirish
日,rì,kun
上班,shàngbān,ish boshlamoq
身体,shēntǐ,jussa; tana
生病,shēngbìng,kasal bo'lmoq
生日,shēngrì,tug'ilgan kun
时间,shíjiān,vaqt
事情,shìqing,voqea; hodisa
手表,shǒubiǎo,qo'l saoti
手机,shǒujī,uyali telefon
送,sòng,sovg'a qilmoq; kuzatmoq
虽然……但是……,suīrán…dànshì…,qat'iy nazar
它,tā,u (insonlardan tashqari)
踢足球,tī zúqiú,futbol o'ynamoq
题,tí,savol; masala
跳舞,tiàowǔ,raqs
外,wài,tashqari
完,wán,tugatmoq; bitirmoq
玩,wán,o'ynamoq
晚上,wǎnshang,kechqurun
为什么,wèi shénme,nimaga
问,wèn,so'ramoq; javob olmoq
问题,wèntí,savol; masala
西瓜,xīguā,tarvuz
希望,xīwàng,umid qilmoq; istamoq
洗,xǐ,yuvmoq
小时,xiǎoshí,soat
笑,xiào,kulmoq
新,xīn,yangi
姓,xìng,familiya
休息,xiūxi,hordiq chiqarish; dam olish
雪,xuě,qor
颜色,yánsè,rang
眼睛,yǎnjing,ko'z
羊肉,yángròu,qo'y go'shti
药,yào,dori
要,yào,istamoq; talab qilmoq; kerak
也,yě,ham
一下,yíxià,bir oz
一起,yìqǐ,birga
已经,yǐjīng,allaqachon
意思,yìsi,ma'no; nazar; qiziq
因为……所以……,yīnwèi…suǒyǐ…,chunki; shuning uchun
阴,yīn,bulutli
游泳,yóuyǒng,suzmoq
右边,yòubian,o'ng tomon
鱼,yú,baliq
远,yuǎn,uzoq
运动,yùndòng,sport bilan shug'ullanmoq
再,zài,keyin; yana ham
早上,zǎoshang,erta tong
丈夫,zhàngfu,er
找,zhǎo,qidirmoq
着,zhe,zamonni davomiyligini bildiradi
真,zhēn,haqiqatan
正在,zhèngzài,hozirgi zamonni ko'rsatadi
知道,zhīdào,bilmoq
准备,zhǔnbèi,rejalashtirmoq; tayyorlanish
自行车,zìxíngchē,velosiped
走,zǒu,piyoda yurmoq; ketmoq
最,zuì,eng
左边,zuǒbian,chap tomon
阿姨,āyí,xola
啊,a,undov; so'roq; darak gaplarga ohang beradi
矮,ǎi,past
爱好,àihào,qiziqish; yoqtirmoq
安静,ānjìng,tinch; tinchlik saqlash
把,bǎ,-ni; sopi bor buyumlar uchun
班,bān,guruh
搬,bān,surmoq
办法,bànfǎ,usul
办公室,bàngōngshì,ofis
半,bàn,yarim
帮忙,bāngmáng,yordam bermoq
包,bāo,xalta
饱,bǎo,to'q
北方,běifāng,shimol
被,bèi,majhul nisbatdagi gaplarda ishlatiladigan
鼻子,bízi,burun
比较,bǐjiào,ancha; yetarli
比赛,bǐsài,musobaqa; musobaqalashmoq
笔记本,bǐjìběn,daftar; noutbuk
必须,bìxū,shart; zarur
变化,biànhuà,o'zgarish; o'zgarmoq
别人,biéren,boshqalar
宾馆,bīnguǎn,mehmonxona
冰箱,bīngxiāng,muzlatgich
不但……而且……,búdàn…érqiě…,shuningdek; nafaqat
才,cái,harakat kech sodir bo'lganligini bildiradi; faqat
菜单,càidān,menyu
参加,cānjiā,qatnashmoq
草,cǎo,o't; chim
层,céng,qavat
差,chà,yomon; -ta kam
超市,chāoshì,supermarket
衬衫,chènshān,ko'ylak
成绩,chéngjì,natija
城市,chéngshì,shahar
迟到,chídào,kech qolmoq
出现,chūxiàn,paydo bo'lmoq
除了,chúle,-dan tashqari
船,chuán,kema
春,chūn,bahor
词典,cídiǎn,lug'at
聪明,cōngming,aqlli
打扫,dǎsǎo,yig'ishtirmoq
打算,dǎsuàn,rejalashtirmoq; reja
带,dài,olib kelmoq
担心,dānxīn,hovliqmoq; xavotirlanmoq
蛋糕,dàngāo,tort
当然,dāngrán,albatta
灯,dēng,chiroq
地,de,ravish hol gaplarni ifoda etadi
地方,dìfang,joy
地铁,dìtiě,metro
地图,dìtú,xarita
电梯,diàntī,lift
电子邮件,diànzǐyóujiàn,elektron pochta; e-mail
东,dōng,sharq
冬,dōng,qish
动物园,dòngwùyuán,hayvonot bog'i
短,duǎn,qisqa
段,duàn,palla; bo'lim; paragraf
锻炼,duànliàn,badantarbiya
多么,duōme,buncha; bunchalar
饿,è,och
耳朵,ěrduo,quloq
发,fā,yubormoq
发烧,fāshāo,isitmalamoq
发现,fāxiàn,topmoq; bilib olmoq
方便,fāngbiàn,qulay
放,fàng,qo'ymoq
放心,fàngxīn,tinchlik saqlash; huzurlanmoq
分,fēn,daqiqa; ball; ajratmoq
附近,fùjìn,yaqin atrofda
复习,fùxí,qaytarmoq
干净,gānjìng,toza
感冒,gǎnmào,shamollamoq
感兴趣,gǎnxìngqù,qiziqish
刚才,gāngcái,hozirgina
个子,gèzi,bo'y
根据,gēnjù,muvofiq; asos
跟,gēn,kuzatmoq; bilan
更,gèng,ko'proq
公斤,gōngjīn,kilogramm
